State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Gujarat,Amreli,Damnagar,Coriander(Leaves),Coriander,FAQ,19/05/2025,2200,3050,2850
Gujarat,Amreli,Savarkundla,"Bengal Gram(Gram)(Whole)","Average (Whole)",Non-FAQ,19/05/2025,5305,5525,5390
Gujarat,Amreli,Savarkundla,"Castor Seed","Castor seed",FAQ,19/05/2025,5500,5970,5750
Gujarat,Anand,"Khambhat(Grain Market)",Paddy(Dhan)(Common),Other,FAQ,19/05/2025,1700,2050,1900
Gujarat,Anand,"Khambhat(Grain Market)",Paddy(Dhan)(Common),Paddy,FAQ,19/05/2025,2500,3150,2900
Gujarat,Banaskanth,Vadgam,Mustard,Other,FAQ,19/05/2025,5555,5555,5555
Gujarat,Bharuch,Jambusar(Kaavi),"Bajra(Pearl Millet/Cumbu)",Other,FAQ,19/05/2025,2400,2800,2600
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)","Bottle gourd",Other,FAQ,19/05/2025,500,500,500
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)",Cucumbar(Kheera),Other,FAQ,19/05/2025,1000,2000,1500
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)",Tomato,Other,FAQ,19/05/2025,2000,2000,2000
Gujarat,Junagarh,Mangrol,"Bengal Gram(Gram)(Whole)","Desi (F.A.Q. Split)",FAQ,19/05/2025,5350,5450,5425
Gujarat,Navsari,Bilimora,Tomato,Other,FAQ,19/05/2025,1000,2000,1500
Gujarat,Rajkot,Dhoraji,"Arhar (Tur/Red Gram)(Whole)",Local,Non-FAQ,19/05/2025,6055,6955,6805
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)","Bhindi(Ladies Finger)",Bhindi,FAQ,19/05/2025,700,1800,1250
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Onion,Onion,FAQ,19/05/2025,150,1075,700
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Tomato,Tomato,FAQ,19/05/2025,1000,2000,1500
Gujarat,Sabarkantha,Modasa(Tintoi),Maize,"Hybrid Red (Cattle Feed)",Non-FAQ,19/05/2025,1700,2100,2100
Gujarat,Surat,Mahuva(Anaval),Mango,Totapuri,Medium,19/05/2025,1750,2250,2000
Gujarat,Surat,Mahuva(Anaval),"Pointed gourd (Parval)",Other,FAQ,19/05/2025,2800,3000,2900
Gujarat,Surat,Surat,Cauliflower,Other,FAQ,19/05/2025,2500,6000,4250
Gujarat,Surat,Surat,Onion,Other,FAQ,19/05/2025,600,2100,1350
Gujarat,Surat,Surat,Ridgeguard(Tori),Other,FAQ,19/05/2025,3000,5500,4250
Gujarat,Surendranagar,Dhragradhra,"Cummin Seed(Jeera)","Cummin Seed(Jeera)",FAQ,19/05/2025,17900,20275,20000
Gujarat,Surendranagar,Dhragradhra,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,19/05/2025,8000,8000,8000
Gujarat,Surendranagar,Dhragradhra,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,19/05/2025,7400,8950,8250
Gujarat,Surendranagar,Dhragradhra,"Suva (Dill Seed)","Suva (Dill Seed)",FAQ,19/05/2025,5000,6840,6500
Gujarat,Surendranagar,Vadhvan,"Bhindi(Ladies Finger)",Bhindi,FAQ,19/05/2025,3000,3500,3250
Gujarat,Surendranagar,Vadhvan,Carrot,Carrot,FAQ,19/05/2025,2000,2500,2250
Gujarat,Surendranagar,Vadhvan,Drumstick,Drumstick,FAQ,19/05/2025,1500,2000,1750
Gujarat,Surendranagar,Vadhvan,"Elephant Yam (Suran)","Elephant Yam (Suran)",FAQ,19/05/2025,4500,5000,4750
Gujarat,Surendranagar,Vadhvan,Lemon,Lemon,FAQ,19/05/2025,7500,8500,8000
Gujarat,Surendranagar,Vadhvan,Tinda,Tinda,FAQ,19/05/2025,4000,4500,4250
Gujarat,Vadodara(Baroda),Padra,"Bottle gourd",Other,FAQ,19/05/2025,500,1000,750
Gujarat,Vadodara(Baroda),Padra,Coriander(Leaves),Other,FAQ,19/05/2025,2000,3000,2500
Gujarat,Vadodara(Baroda),Padra,Ginger(Green),Other,FAQ,19/05/2025,2500,3000,2750
Gujarat,Vadodara(Baroda),Padra,"Little gourd (Kundru)",Other,FAQ,19/05/2025,1250,2750,2000
Gujarat,Vadodara(Baroda),Padra,"Pointed gourd (Parval)",Other,FAQ,19/05/2025,4000,4500,4250
Haryana,Fatehabad,Fatehabad,"Mousambi(Sweet Lime)",Other,Large,19/05/2025,3500,3500,3500
Haryana,Gurgaon,Gurgaon,Tomato,Other,Non-FAQ,19/05/2025,800,1000,900
Haryana,Hissar,Hansi,Brinjal,Other,FAQ,19/05/2025,1000,2000,1500
Haryana,Hissar,Hansi,Cauliflower,Other,FAQ,19/05/2025,800,1200,1000
Haryana,Hissar,Hansi,Potato,Other,Non-FAQ,19/05/2025,1000,3500,1000
Haryana,Kaithal,Dhand,Onion,Other,FAQ,19/05/2025,1000,1400,1300
Haryana,Kaithal,Dhand,Potato,Other,FAQ,19/05/2025,900,1200,1100
Haryana,Mahendragarh-Narnaul,Narnaul,Chikoos(Sapota),Sapota,Medium,19/05/2025,2000,2000,2000
Haryana,Mahendragarh-Narnaul,Narnaul,"Cluster beans","Cluster Beans",FAQ,19/05/2025,3000,3000,3000
Haryana,Mahendragarh-Narnaul,Narnaul,Coriander(Leaves),Coriander,FAQ,19/05/2025,2000,2000,2000
Haryana,Mahendragarh-Narnaul,Narnaul,Ginger(Green),"Green Ginger",FAQ,19/05/2025,3500,4000,4000
Haryana,Mahendragarh-Narnaul,Narnaul,Spinach,Spinach,FAQ,19/05/2025,1000,1000,1000
Haryana,Mewat,FerozpurZirkha(Nagina),"Bottle gourd",Other,FAQ,19/05/2025,800,1000,900
Haryana,Mewat,FerozpurZirkha(Nagina),Tomato,Other,FAQ,19/05/2025,400,600,500
Haryana,Mewat,Punhana,Onion,Other,FAQ,19/05/2025,1000,1200,1100
Haryana,Mewat,Punhana,Potato,Other,FAQ,19/05/2025,1200,1400,1300
Haryana,Mewat,Tauru,Lemon,Other,FAQ,19/05/2025,8000,8000,8000
Haryana,Panipat,Panipat,"Bottle gourd","Bottle Gourd",FAQ,19/05/2025,500,700,600
Haryana,Panipat,Panipat,Brinjal,"Arkasheela Mattigulla",FAQ,19/05/2025,700,1300,1000
Haryana,Panipat,Panipat,Mango,Other,Medium,19/05/2025,2000,8000,5000
Haryana,Panipat,Panipat,Onion,Other,FAQ,19/05/2025,500,1300,900
Haryana,Panipat,Panipat,Pomegranate,Pomogranate,Medium,19/05/2025,5000,7000,6000
Haryana,Panipat,Panipat,Potato,Other,FAQ,19/05/2025,600,1200,900
Haryana,Panipat,Panipat,Tomato,Other,FAQ,19/05/2025,500,1000,750
Haryana,Panipat,Samalkha,"Bottle gourd","Bottle Gourd",FAQ,19/05/2025,700,700,700
Haryana,Panipat,Samalkha,"Green Chilli","Green Chilly",FAQ,19/05/2025,2000,2000,2000
Haryana,Panipat,Samalkha,"Karbuja(Musk Melon)",Karbhuja,Large,19/05/2025,1000,1000,1000
Haryana,Panipat,Samalkha,"Long Melon(Kakri)","Long Melon (Kakri)",FAQ,19/05/2025,1000,1000,1000
Haryana,Panipat,Samalkha,Onion,Local,FAQ,19/05/2025,1000,1000,1000
Haryana,Panipat,Samalkha,Ridgeguard(Tori),Other,FAQ,19/05/2025,1000,1000,1000
Haryana,Panipat,Samalkha,"Water Melon","Water Melon",Large,19/05/2025,600,600,600
Haryana,Rewari,Kosli,Banana,Other,Medium,19/05/2025,2000,2000,2000
Haryana,Rewari,Kosli,"Bhindi(Ladies Finger)",Bhindi,FAQ,19/05/2025,2000,2000,2000
